datetime	price	price_change	price_gram_24k	price_gram_22k	price_gram_21k	price_gram_20k	price_gram_18k	price_gram_16k	price_gram_14k	price_gram_10k
2025-12-11 22:00:00	4248.79	-2.67	136.6017	125.2182	119.5265	113.8347	102.4513	91.0678	79.6843	56.9174
2025-12-11 23:00:00	4246.12	-2.67	136.5158	125.1395	119.4513	113.7632	102.3869	91.0106	79.6342	56.8816
2025-12-12 00:00:00	4243.45	-2.67	136.4300	125.0608	119.3762	113.6917	102.3225	90.9533	79.5842	56.8458
2025-12-12 01:00:00	4240.78	-2.67	136.3441	124.9821	119.3011	113.6201	102.2581	90.8961	79.5341	56.8101
2025-12-12 02:00:00	4238.11	-2.67	136.2583	124.9034	119.2260	113.5486	102.1937	90.8389	79.4840	56.7743
2025-12-12 03:00:00	4235.44	-2.67	136.1725	124.8248	119.1509	113.4770	102.1293	90.7816	79.4339	56.7385
2025-12-12 04:00:00	4232.77	-2.67	136.0866	124.7461	119.0758	113.4055	102.0650	90.7244	79.3839	56.7028
2025-12-12 05:00:00	4235.10	2.33	136.1615	124.8147	119.1413	113.4679	102.1211	90.7744	79.4276	56.7340
2025-12-12 06:00:00	4237.43	2.33	136.2364	124.8834	119.2069	113.5304	102.1773	90.8243	79.4713	56.7652
2025-12-12 07:00:00	4239.76	2.33	136.3113	124.9521	119.2724	113.5928	102.2335	90.8742	79.5150	56.7964
2025-12-12 08:00:00	4242.09	2.33	136.3863	125.0207	119.3380	113.6552	102.2897	90.9242	79.5587	56.8276
2025-12-12 09:00:00	4244.42	2.33	136.4612	125.0894	119.4035	113.7176	102.3459	90.9741	79.6023	56.8588
2025-12-12 10:00:00	4246.75	2.33	136.5361	125.1581	119.4691	113.7801	102.4021	91.0241	79.6460	56.8900
2025-12-12 11:00:00	4249.08	2.33	136.6110	125.2267	119.5346	113.8425	102.4582	91.0740	79.6897	56.9212
2025-12-12 12:00:00	4251.41	2.33	136.6859	125.2954	119.6002	113.9049	102.5144	91.1239	79.7334	56.9525
2025-12-12 13:00:00	4253.74	2.33	136.7608	125.3641	119.6657	113.9673	102.5706	91.1739	79.7771	56.9837
2025-12-12 14:00:00	4256.07	2.33	136.8357	125.4327	119.7313	114.0298	102.6268	91.2238	79.8208	57.0149
2025-12-12 15:00:00	4258.40	2.33	136.9106	125.5014	119.7968	114.0922	102.6830	91.2738	79.8645	57.0461
2025-12-12 16:00:00	4260.73	2.33	136.9855	125.5701	119.8624	114.1546	102.7392	91.3237	79.9082	57.0773
2025-12-12 17:00:00	4263.06	2.33	137.0605	125.6388	119.9279	114.2170	102.7953	91.3736	79.9519	57.1085
2025-12-12 18:00:00	4260.39	-2.67	136.9746	125.5601	119.8528	114.1455	102.7310	91.3164	79.9019	57.0728
2025-12-12 19:00:00	4257.72	-2.67	136.8888	125.4814	119.7777	114.0740	102.6666	91.2592	79.8518	57.0370
2025-12-12 20:00:00	4255.05	-2.67	136.8029	125.4027	119.7026	114.0024	102.6022	91.2020	79.8017	57.0012
2025-12-12 21:00:00	4252.38	-2.67	136.7171	125.3240	119.6275	113.9309	102.5378	91.1447	79.7516	56.9655
2025-12-12 22:00:00	4249.71	-2.67	136.6312	125.2453	119.5523	113.8594	102.4734	91.0875	79.7016	56.9297
2025-12-12 23:00:00	4247.04	-2.67	136.5454	125.1666	119.4772	113.7878	102.4091	91.0303	79.6515	56.8939
2025-12-13 17:10:02	4299.39	18.94	138.2286	126.7095	120.9500	115.1905	103.6714	92.1524	80.6333	57.5952
2025-12-13 18:00:02	4299.39	18.94	138.2286	126.7095	120.9500	115.1905	103.6714	92.1524	80.6333	57.5952
2025-12-13 19:00:02	4299.39	18.94	138.2286	126.7095	120.9500	115.1905	103.6714	92.1524	80.6333	57.5952
